date,Closed PnL,trade_volume,win_rate,sentiment
2024-03-09,0.0,13295.3911391,0.0,Extreme Greed
2024-07-03,145563.448374,1920842.1753198132,0.9518072289156626,Neutral
2024-10-27,-94392.289311,21281998564.26633,0.12490650710545999,Greed
2025-02-19,2704763.846986,13500521188581.078,0.40550124592677783,Fear
